name,ip,port,proto,state,service,product,version,confidence,evidence,banner,http_status,http_server,http_title
scanme.nmap.org,2600:3c01::f03c:91ff:fe18:bb2f,22,tcp,open,ssh,OpenSSH,6.6.1p1,high,banner,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13\r\n,,,
scanme.nmap.org,2600:3c01::f03c:91ff:fe18:bb2f,80,tcp,open,http,Apache/2.4.7 (Ubuntu),,medium,http,,400,Apache/2.4.7 (Ubuntu),400 Bad Request
scanme.nmap.org,45.33.32.156,22,tcp,open,ssh,OpenSSH,6.6.1p1,high,banner,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13\r\n,,,
scanme.nmap.org,45.33.32.156,80,tcp,open,http,Apache/2.4.7 (Ubuntu),,medium,http,,200,Apache/2.4.7 (Ubuntu),Go ahead and ScanMe!
www.news,75.2.38.108,9,tcp,open,discard,,,low,nmap-services,,,,
www.news,75.2.38.108,13,tcp,open,daytime,,,low,nmap-services,,,,
www.news,75.2.38.108,21,tcp,open,ftp,,,low,nmap-services,,,,
www.news,75.2.38.108,22,tcp,open,ssh,,,low,nmap-services,,,,
www.news,75.2.38.108,23,tcp,open,telnet,,,low,nmap-services,,,,
www.news,75.2.38.108,26,tcp,open,rsftp,,,low,nmap-services,,,,
www.news,75.2.38.108,53,tcp,open,domain,,,low,nmap-services,,,,
www.news,75.2.38.108,79,tcp,open,finger,,,low,nmap-services,,,,
www.news,75.2.38.108,80,tcp,open,http,nginx,,medium,http,,403,nginx,403 Forbidden
www.news,75.2.38.108,81,tcp,open,hosts2-ns,,,low,nmap-services,,,,
www.news,75.2.38.108,88,tcp,open,kerberos-sec,,,low,nmap-services,,,,
www.news,75.2.38.108,110,tcp,open,pop3,,,low,nmap-services,,,,
www.news,75.2.38.108,111,tcp,open,rpcbind,,,low,nmap-services,,,,
www.news,75.2.38.108,113,tcp,open,ident,,,low,nmap-services,,,,
www.news,75.2.38.108,135,tcp,open,msrpc,,,low,nmap-services,,,,
www.news,75.2.38.108,139,tcp,open,netbios-ssn,,,low,nmap-services,,,,
www.news,75.2.38.108,143,tcp,open,imap,,,low,nmap-services,,,,
www.news,75.2.38.108,144,tcp,open,news,,,low,nmap-services,,,,
www.news,75.2.38.108,199,tcp,open,smux,,,low,nmap-services,,,,
www.news,75.2.38.108,443,tcp,open,https,,,low,nmap-services,,,,
www.news,75.2.38.108,444,tcp,open,snpp,,,low,nmap-services,,,,
www.news,75.2.38.108,445,tcp,open,microsoft-ds,,,low,nmap-services,,,,
www.news,75.2.38.108,465,tcp,open,smtps,,,low,nmap-services,,,,
www.news,75.2.38.108,514,tcp,open,shell,,,low,nmap-services,,,,
www.news,75.2.38.108,543,tcp,open,klogin,,,low,nmap-services,,,,
www.news,75.2.38.108,548,tcp,open,afp,,,low,nmap-services,,,,
www.news,75.2.38.108,554,tcp,open,rtsp,,,low,nmap-services,,,,
www.news,75.2.38.108,587,tcp,open,submission,,,low,nmap-services,,,,
www.news,75.2.38.108,631,tcp,open,ipp,,,low,nmap-services,,,,
www.news,75.2.38.108,646,tcp,open,ldp,,,low,nmap-services,,,,
www.news,75.2.38.108,993,tcp,open,imaps,,,low,nmap-services,,,,
www.news,75.2.38.108,995,tcp,open,pop3s,,,low,nmap-services,,,,
www.news,75.2.38.108,1026,tcp,open,LSA-or-nterm,,,low,nmap-services,,,,
www.news,75.2.38.108,1027,tcp,open,IIS,,,low,nmap-services,,,,
www.news,75.2.38.108,1028,tcp,open,unknown,,,low,nmap-services,,,,
www.news,75.2.38.108,1433,tcp,open,ms-sql-s,,,low,nmap-services,,,,
www.news,75.2.38.108,1720,tcp,open,h323q931,,,low,nmap-services,,,,
www.news,75.2.38.108,1723,tcp,open,pptp,,,low,nmap-services,,,,
www.news,75.2.38.108,1755,tcp,open,wms,,,low,nmap-services,,,,
www.news,75.2.38.108,2717,tcp,open,pn-requester,,,low,nmap-services,,,,
www.news,75.2.38.108,3000,tcp,open,ppp,,,low,nmap-services,,,,
www.news,75.2.38.108,3128,tcp,open,squid-http,,,low,nmap-services,,,,
www.news,75.2.38.108,3306,tcp,open,mysql,,,low,nmap-services,,,,
www.news,75.2.38.108,3389,tcp,open,ms-wbt-server,,,low,nmap-services,,,,
www.news,75.2.38.108,3986,tcp,open,mapper-ws_ethd,,,low,nmap-services,,,,
www.news,75.2.38.108,4899,tcp,open,radmin,,,low,nmap-services,,,,
www.news,75.2.38.108,5051,tcp,open,ida-agent,,,low,nmap-services,,,,
www.news,75.2.38.108,5060,tcp,open,sip,,,low,nmap-services,,,,
www.news,75.2.38.108,5101,tcp,open,admdog,,,low,nmap-services,,,,
www.news,75.2.38.108,5631,tcp,open,pcanywheredata,,,low,nmap-services,,,,
www.news,75.2.38.108,5800,tcp,open,vnc-http,,,low,nmap-services,,,,
www.news,75.2.38.108,5900,tcp,open,vnc,,,low,nmap-services,,,,
www.news,75.2.38.108,6001,tcp,open,X11:1,,,low,nmap-services,,,,
www.news,75.2.38.108,6646,tcp,open,unknown,,,low,nmap-services,,,,
www.news,75.2.38.108,7070,tcp,open,realserver,,,low,nmap-services,,,,
www.news,75.2.38.108,8000,tcp,open,http-alt,,,low,nmap-services,,,,
www.news,75.2.38.108,8009,tcp,open,ajp13,,,low,nmap-services,,,,
www.news,75.2.38.108,8080,tcp,open,http-proxy,,,low,nmap-services,,,,
www.news,75.2.38.108,8081,tcp,open,blackice-icecap,,,low,nmap-services,,,,
www.news,75.2.38.108,8443,tcp,open,https-alt,,,low,nmap-services,,,,
www.news,75.2.38.108,8888,tcp,open,sun-answerbook,,,low,nmap-services,,,,
www.news,75.2.38.108,9100,tcp,open,jetdirect,,,low,nmap-services,,,,
www.news,75.2.38.108,10000,tcp,open,snet-sensor-mgmt,,,low,nmap-services,,,,
www.news,75.2.38.108,32768,tcp,open,filenet-tms,,,low,nmap-services,,,,
www.news,75.2.38.108,49153,tcp,open,unknown,,,low,nmap-services,,,,
www.news,75.2.38.108,49156,tcp,open,unknown,,,low,nmap-services,,,,
www.news,75.2.38.108,49157,tcp,open,unknown,,,low,nmap-services,,,,
www.news,99.83.155.228,9,tcp,open,discard,,,low,nmap-services,,,,
www.news,99.83.155.228,13,tcp,open,daytime,,,low,nmap-services,,,,
www.news,99.83.155.228,21,tcp,open,ftp,,,low,nmap-services,,,,
www.news,99.83.155.228,23,tcp,open,telnet,,,low,nmap-services,,,,
www.news,99.83.155.228,37,tcp,open,time,,,low,nmap-services,,,,
www.news,99.83.155.228,53,tcp,open,domain,,,low,nmap-services,,,,
www.news,99.83.155.228,79,tcp,open,finger,,,low,nmap-services,,,,
www.news,99.83.155.228,80,tcp,open,http,nginx,,medium,http,,403,nginx,403 Forbidden
www.news,99.83.155.228,81,tcp,open,hosts2-ns,,,low,nmap-services,,,,
www.news,99.83.155.228,88,tcp,open,kerberos-sec,,,low,nmap-services,,,,
www.news,99.83.155.228,106,tcp,open,pop3pw,,,low,nmap-services,,,,
www.news,99.83.155.228,110,tcp,open,pop3,,,low,nmap-services,,,,
www.news,99.83.155.228,139,tcp,open,netbios-ssn,,,low,nmap-services,,,,
www.news,99.83.155.228,143,tcp,open,imap,,,low,nmap-services,,,,
www.news,99.83.155.228,144,tcp,open,news,,,low,nmap-services,,,,
www.news,99.83.155.228,179,tcp,open,bgp,,,low,nmap-services,,,,
www.news,99.83.155.228,199,tcp,open,smux,,,low,nmap-services,,,,
www.news,99.83.155.228,443,tcp,open,https,,,low,nmap-services,,,,
www.news,99.83.155.228,445,tcp,open,microsoft-ds,,,low,nmap-services,,,,
www.news,99.83.155.228,465,tcp,open,smtps,,,low,nmap-services,,,,
www.news,99.83.155.228,514,tcp,open,shell,,,low,nmap-services,,,,
www.news,99.83.155.228,515,tcp,open,printer,,,low,nmap-services,,,,
www.news,99.83.155.228,548,tcp,open,afp,,,low,nmap-services,,,,
www.news,99.83.155.228,554,tcp,open,rtsp,,,low,nmap-services,,,,
www.news,99.83.155.228,646,tcp,open,ldp,,,low,nmap-services,,,,
www.news,99.83.155.228,993,tcp,open,imaps,,,low,nmap-services,,,,
www.news,99.83.155.228,995,tcp,open,pop3s,,,low,nmap-services,,,,
www.news,99.83.155.228,1110,tcp,open,nfsd-status,,,low,nmap-services,,,,
www.news,99.83.155.228,1433,tcp,open,ms-sql-s,,,low,nmap-services,,,,
www.news,99.83.155.228,1720,tcp,open,h323q931,,,low,nmap-services,,,,
www.news,99.83.155.228,1723,tcp,open,pptp,,,low,nmap-services,,,,
www.news,99.83.155.228,1755,tcp,open,wms,,,low,nmap-services,,,,
www.news,99.83.155.228,2000,tcp,open,cisco-sccp,,,low,nmap-services,,,,
