host,resolved_name,port,proto,state,service_name,product,version,os_hint,confidence,evidence,banner,http_status,http_server,http_title
3.5.232.249,dev.businesscorp.com.br,80,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.232.249,dev.businesscorp.com.br,443,tcp,open,https,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.232.249,dev.businesscorp.com.br,444,tcp,open,snpp,,,,low,nmap-services,,,,
3.5.232.249,dev.businesscorp.com.br,445,tcp,open,microsoft-ds,,,,low,nmap-services,,,,
3.5.232.249,dev.businesscorp.com.br,8080,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.232.49,dev.businesscorp.com.br,80,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.232.49,dev.businesscorp.com.br,443,tcp,open,https,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.232.49,dev.businesscorp.com.br,444,tcp,open,snpp,,,,low,nmap-services,,,,
3.5.232.49,dev.businesscorp.com.br,445,tcp,open,microsoft-ds,,,,low,nmap-services,,,,
3.5.232.49,dev.businesscorp.com.br,8080,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.233.106,dev.businesscorp.com.br,80,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.233.106,dev.businesscorp.com.br,443,tcp,open,https,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.233.106,dev.businesscorp.com.br,445,tcp,open,microsoft-ds,,,,low,nmap-services,,,,
3.5.233.106,dev.businesscorp.com.br,8080,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.234.135,dev.businesscorp.com.br,80,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.234.135,dev.businesscorp.com.br,443,tcp,open,https,AmazonS3,,,medium,http,,405,AmazonS3,
3.5.234.135,dev.businesscorp.com.br,444,tcp,open,snpp,,,,low,nmap-services,,,,
3.5.234.135,dev.businesscorp.com.br,445,tcp,open,microsoft-ds,,,,low,nmap-services,,,,
3.5.234.135,dev.businesscorp.com.br,8080,tcp,open,http,AmazonS3,,,medium,http,,405,AmazonS3,
37.59.174.225,businesscorp.com.br,21,tcp,open,ftp,ProFTPD,1.3.4a,,high,banner,220 ProFTPD 1.3.4a Server (FTP) [::ffff:37.59.174.225]\r\n,,,
37.59.174.225,businesscorp.com.br,22,tcp,open,ssh,OpenSSH,6.0p1,Debian-4+deb7u2\r\n,high,banner,SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u2\r\n,,,
37.59.174.225,businesscorp.com.br,53,tcp,open,domain,,,,low,nmap-services,,,,
37.59.174.225,businesscorp.com.br,80,tcp,open,http,Apache/2.2.22 (Debian),,,medium,http,,200,Apache/2.2.22 (Debian),Business Corp
37.59.174.225,businesscorp.com.br,111,tcp,open,rpcbind,,,,low,nmap-services,,,,
37.59.174.226,desafio.businesscorp.com.br,22,tcp,open,ssh,OpenSSH,6.0p1,Debian-4+deb7u2\r\n,high,banner,SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u2\r\n,,,
37.59.174.226,desafio.businesscorp.com.br,53,tcp,open,domain,,,,low,nmap-services,,,,
37.59.174.226,desafio.businesscorp.com.br,111,tcp,open,rpcbind,,,,low,nmap-services,,,,
37.59.174.228,intranet.businesscorp.com.br,80,tcp,open,http,Apache/2.2.22 (Debian),,,medium,http,,200,Apache/2.2.22 (Debian),
