name,ip,port,proto,state,service,product,version,confidence,evidence,banner,http_status,http_server,http_title
businesscorp.com.br,37.59.174.225,21,tcp,open,ftp,,,medium,banner,220 ProFTPD 1.3.4a Server (FTP) [::ffff:37.59.174.225]\r\n,,,
businesscorp.com.br,37.59.174.225,22,tcp,open,ssh,OpenSSH,6.0p1,high,banner,SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u2\r\n,,,
businesscorp.com.br,37.59.174.225,53,tcp,open,domain,,,low,nmap-services,,,,
businesscorp.com.br,37.59.174.225,80,tcp,open,http,Apache/2.2.22 (Debian),,medium,http,,200,Apache/2.2.22 (Debian),Business Corp
businesscorp.com.br,37.59.174.225,111,tcp,open,rpcbind,,,low,nmap-services,,,,
dev.businesscorp.com.br,16.12.1.6,80,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,16.12.1.6,443,tcp,open,https,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,16.12.1.6,444,tcp,open,snpp,,,low,nmap-services,,,,
dev.businesscorp.com.br,16.12.1.6,445,tcp,open,microsoft-ds,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.232.62,80,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.232.62,443,tcp,open,https,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.232.62,444,tcp,open,snpp,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.232.62,445,tcp,open,microsoft-ds,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.232.62,8080,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.232.63,80,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.232.63,443,tcp,open,https,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.232.63,444,tcp,open,snpp,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.232.63,445,tcp,open,microsoft-ds,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.232.63,8080,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.233.101,80,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.233.101,443,tcp,open,https,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.233.101,444,tcp,open,snpp,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.233.101,445,tcp,open,microsoft-ds,,,low,nmap-services,,,,
dev.businesscorp.com.br,3.5.233.101,8080,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
dev.businesscorp.com.br,3.5.234.186,80,tcp,open,http,AmazonS3,,medium,http,,405,AmazonS3,
