host,resolved_name,port,proto,state,service_guess,banner,http_status,http_server,http_title
37.59.174.225,businesscorp.com.br,21,tcp,open,ftp,220 ProFTPD 1.3.4a Server (FTP) [::ffff:37.59.174.225]\r\n,,,
37.59.174.225,businesscorp.com.br,22,tcp,open,ssh,SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u2\r\n,,,
37.59.174.225,businesscorp.com.br,53,tcp,open,dns,,,,
37.59.174.225,businesscorp.com.br,80,tcp,open,http,,,,
37.59.174.225,businesscorp.com.br,111,tcp,open,rpcbind,,,,
37.59.174.226,desafio.businesscorp.com.br,22,tcp,open,ssh,SSH-2.0-OpenSSH_6.0p1 Debian-4+deb7u2\r\n,,,
37.59.174.226,desafio.businesscorp.com.br,53,tcp,open,dns,,,,
37.59.174.226,desafio.businesscorp.com.br,111,tcp,open,rpcbind,,,,
37.59.174.227,mail.businesscorp.com.br,21,tcp,open,ftp,,,,
37.59.174.227,mail.businesscorp.com.br,80,tcp,open,http,,,,
37.59.174.227,mail.businesscorp.com.br,110,tcp,open,pop3,+OK Hello there.\r\n,,,
37.59.174.227,mail.businesscorp.com.br,143,tcp,open,imap,* OK [CAPABILITY IMAP4rev1 UIDPLUS CHILDREN NAMESPACE THREAD=ORDEREDSUBJECT THREAD=REFERENCES SORT QUOTA IDLE ACL ACL2=UNION] Courier-IMAP ready. Copyright 1998,,,
37.59.174.228,intranet.businesscorp.com.br,80,tcp,open,http,,,,
37.59.174.228,intranet.businesscorp.com.br,10000,tcp,open,,,,,
37.59.174.229,rh.businesscorp.com.br,80,tcp,open,http,,,,
